;Scopy version,e02cebe
;Exported on,Thursday December 09/12/2021
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
766,4991.61,14.8899,-4.33549
767,5026.24,14.8572,-5.07229
768,5061.12,15.0479,-4.02187
769,5096.23,15.1219,-4.32716
770,5131.59,15.321,-5.12161
771,5167.2,15.308,-3.94564
772,5203.05,15.3703,-5.36836
773,5239.16,15.4153,-5.12095
774,5275.51,15.6518,-5.2464
775,5312.11,15.6642,-6.30545
776,5348.97,15.7427,-5.89147
777,5386.09,15.868,-5.58054
778,5423.46,15.781,-5.41554
779,5461.09,15.9705,-6.55224
780,5498.98,16.036,-5.70472
781,5537.14,16.2174,-6.17195
782,5575.56,16.4109,-5.66898
783,5614.24,16.4223,-6.41136
784,5653.2,16.5507,-7.36963
785,5692.43,16.7318,-7.28582
786,5731.92,16.9979,-7.52472
787,5771.69,16.9323,-8.06705
788,5811.74,17.1571,-8.30099
789,5852.07,17.3501,-8.13803
790,5892.67,17.4289,-8.16894
791,5933.56,17.4438,-9.12912
792,5974.73,17.7416,-9.86526
793,6016.19,17.905,-9.98993
794,6057.93,18.0337,-10.4038
795,6099.97,18.1455,-10.231
796,6142.29,18.416,-11.3649
797,6184.91,18.5145,-11.9386
798,6227.83,18.741,-12.2004
799,6271.04,18.9678,-12.034
800,6314.55,19.2468,-13.1007
801,6358.36,19.3137,-14.6006
802,6402.48,19.5237,-15.272
803,6446.91,19.7243,-15.9746
804,6491.64,20.0355,-16.5023
805,6536.68,20.2608,-17.1789
806,6582.04,20.5019,-19.0255
807,6627.71,20.657,-20.4481
808,6673.7,20.9987,-21.2205
809,6720,21.0793,-22.5887
810,6766.63,21.3133,-25.0304
811,6813.58,21.6213,-26.6797
812,6860.86,21.9004,-28.3118
813,6908.46,22.1638,-30.9751
814,6956.4,22.3928,-33.1896
815,7004.67,22.8134,-35.9275
816,7053.27,23.0105,-37.5553
817,7102.21,23.4214,-40.8975
818,7151.49,23.6268,-44.9162
819,7201.11,23.9369,-46.9803
820,7251.08,24.1885,-50.897
821,7301.39,24.5388,-53.9543
822,7352.05,24.6892,-58.7993
823,7403.06,24.7553,-62.9587
824,7454.43,24.8621,-67.9817
825,7506.15,24.9009,-72.8843
826,7558.24,25.1351,-75.3492
827,7610.68,24.8609,-79.7198
828,7663.49,24.9791,-83.4451
829,7716.66,24.8162,-88.3753
830,7770.21,24.7635,-90.4774
831,7824.12,24.8143,-94.6841
832,7878.41,24.5494,-97.2632
833,7933.07,24.286,-100.057
834,7988.12,24.1505,-104.401
835,8043.55,23.8395,-107.011
836,8099.36,23.8156,-109.693
837,8155.56,23.6407,-112.121
838,8212.14,23.3981,-115.462
839,8269.12,22.8592,-117.621
840,8326.5,22.7498,-119.595
841,8384.28,22.5965,-121.108
842,8442.45,22.222,-124.652
843,8501.03,22.0008,-124.941
844,8560.02,21.523,-127.318
845,8619.41,21.4255,-129.258
846,8679.22,21.1347,-131.306
847,8739.44,20.8391,-133.139
848,8800.08,20.6574,-134.127
849,8861.14,20.1828,-136.006
850,8922.62,19.943,-137.644
851,8984.53,19.8765,-139.269
852,9046.87,19.4691,-141.258
853,9109.65,19.2203,-141.137
854,9172.86,18.846,-142.532
855,9236.5,18.5749,-145.156
856,9300.59,18.3681,-145.124
857,9365.13,18.0262,-145.591
858,9430.11,17.8437,-147.276
859,9495.54,17.5404,-148.643
860,9561.42,17.1781,-149.87
861,9627.77,17.1036,-150.114
862,9694.57,16.5548,-151.854
863,9761.84,16.3545,-153.389
864,9829.57,16.22,-152.646
865,9897.78,15.8481,-153.109
866,9966.45,15.6645,-154.196
867,10035.6,15.4128,-153.791
868,10105.2,14.9793,-155.222
869,10175.4,14.8179,-155.474
870,10246,14.6442,-155.634
871,10317.1,14.3283,-157.323
872,10388.6,14.2188,-157.028
873,10460.7,13.9536,-158.179
874,10533.3,13.6401,-158.628
875,10606.4,13.3027,-158.585
876,10680,12.9421,-159.112
877,10754.1,13.025,-160.417
878,10828.7,12.6675,-159.795
879,10903.8,12.4652,-158.936
880,10979.5,12.317,-159.021
881,11055.7,12.0463,-162.252
882,11132.4,11.6984,-160.475
883,11209.6,11.9431,-161.263
884,11287.4,11.2655,-162.73
885,11365.7,11.1386,-161.88
886,11444.6,10.962,-158.125
887,11524,10.7698,-159.924
888,11604,10.4302,-163.013
889,11684.5,10.0025,-164.061
890,11765.6,10.1013,-162.663
891,11847.2,10.2822,-161.942
892,11929.4,9.53291,-162.501
893,12012.2,9.14105,-163.824
894,12095.5,9.42235,-160.794
895,12179.5,8.84773,-162.219
896,12264,9.16378,-163.249
897,12349.1,8.72927,-165.533
898,12434.7,8.42241,-163.744
899,12521,8.3445,-162.904
900,12607.9,8.15019,-164.762
901,12695.4,7.91995,-164.366
902,12783.5,7.7601,-165.583
903,12872.2,7.73481,-166.06
904,12961.5,7.54222,-164.894
905,13051.4,7.24212,-165.652
906,13142,7.17237,-164.609
907,13233.2,6.91747,-164.975
908,13325,6.74937,-164.426
909,13417.4,6.50627,-164.229
910,13510.5,6.39572,-165.571
911,13604.3,6.15124,-164.134
912,13698.7,6.06023,-165.713
913,13793.7,5.95056,-165.724
914,13889.4,5.44365,-163.714
915,13985.8,5.2369,-166.512
916,14082.9,5.25417,-166.387
917,14180.6,5.09437,-166.356
918,14279,4.84683,-165.471
919,14378,4.90068,-164.514
920,14477.8,4.60516,-166.029
921,14578.3,4.26063,-166.205
922,14679.4,4.49944,-168.828
923,14781.3,4.23855,-166.549
924,14883.8,4.01669,-164.96
925,14987.1,3.8598,-167.779
926,15091.1,3.62352,-168.033
927,15195.8,3.63691,-166.041
928,15301.2,3.3479,-169.661
929,15407.4,3.3802,-165.476
930,15514.3,2.98059,-167.433
931,15622,2.88473,-166.12
932,15730.4,2.49818,-167.501
933,15839.5,2.40775,-167.321
934,15949.4,2.87105,-166.112
935,16060.1,2.60625,-167.153
936,16171.5,2.00551,-166.199
937,16283.7,2.09047,-168.365
938,16396.7,1.87961,-165.078
939,16510.5,1.58714,-165.922
940,16625,1.7193,-169.05
941,16740.4,1.16597,-169.228
942,16856.6,0.81892,-169.267
943,16973.5,1.00944,-171.004
944,17091.3,1.25294,-166.97
945,17209.9,0.857443,-167.291
946,17329.3,0.55644,-170.606
947,17449.5,0.415525,-166.732
948,17570.6,0.484255,-166.84
949,17692.5,0.348493,-168.987
950,17815.3,0.520025,-168.986
951,17938.9,-0.160488,-168.569
952,18063.4,-0.489146,-168.599
953,18188.7,-0.531977,-164.496
954,18314.9,-0.180177,-166.931
955,18442,-0.749944,-169.667
956,18570,-0.826201,-169.474
957,18698.8,-0.729965,-167.793
958,18828.6,-0.512599,-169.229
959,18959.2,-1.19523,-167.454
960,19090.7,-0.88171,-168.985
961,19223.2,-1.14493,-166.55
962,19356.6,-1.42004,-168.434
963,19490.9,-0.630583,-166.467
964,19626.1,-2.38198,-166.649
965,19762.3,-1.23044,-164.201
966,19899.4,-1.42437,-169.855
967,20037.5,-2.54309,-166.91
968,20176.6,-2.43113,-171.564
969,20316.5,-2.44984,-169.563
970,20457.5,-3.02264,-171.295
971,20599.5,-2.37927,-169.436
972,20742.4,-2.1112,-166.971
973,20886.3,-2.53084,-168.448
974,21031.2,-3.69118,-173.528
975,21177.2,-2.48125,-165.771
976,21324.1,-3.31112,-163.017
977,21472.1,-3.89102,-171.904
978,21621.1,-3.70587,-168.593
979,21771.1,-3.12101,-168.657
980,21922.1,-4.09232,-172.889
981,22074.2,-3.71861,-164.166
982,22227.4,-3.0061,-166.833
983,22381.6,-4.36355,-172.316
984,22536.9,-4.04022,-175.231
985,22693.3,-3.98556,-163.185
986,22850.8,-4.32534,-167.276
987,23009.3,-4.39376,-171.78
988,23169,-4.50414,-170.425
989,23329.7,-4.81161,-174.035
990,23491.6,-5.35396,-167.774
991,23654.6,-5.00338,-169.48
992,23818.8,-4.05317,-168.574
993,23984,-6.03023,-178.172
994,24150.4,-6.53901,-170.993
995,24318,-5.76645,-164.657
996,24486.7,-5.5416,-179.877
997,24656.6,-6.49564,-166.989
998,24827.7,-5.73006,-172.395
999,25000,-5.75129,-169.917
