;Scopy version,e02cebe
;Exported on,Thursday December 09/12/2021
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
169,80.4355,11.9762,-0.530394
170,80.9936,11.9889,0.106623
171,81.5556,12.0032,-0.312949
172,82.1214,11.9856,-0.0628748
173,82.6912,11.9875,-0.233544
174,83.265,11.9759,-0.27635
175,83.8428,11.9397,-0.199079
176,84.4245,11.9286,-0.178177
177,85.0103,12.0045,-0.390013
178,85.6002,11.9617,-0.336967
179,86.1941,11.9703,-0.359762
180,86.7922,11.964,-0.176503
181,87.3944,12.0069,-0.0649336
182,88.0008,12.0217,-0.514531
183,88.6114,11.9784,-0.294874
184,89.2262,11.9663,-0.339655
185,89.8453,11.9824,-0.0893047
186,90.4687,12.0225,-0.479124
187,91.0965,11.9606,-0.523806
188,91.7286,11.9736,-0.269095
189,92.365,11.9446,-0.436442
190,93.0059,12.0134,-0.572251
191,93.6513,11.9978,-0.437158
192,94.3011,11.9743,-0.32377
193,94.9554,12.0084,-0.272614
194,95.6142,12.0008,-0.583083
195,96.2777,11.9877,-0.325115
196,96.9457,11.99,-0.256645
197,97.6184,12.0243,-0.534915
198,98.2957,11.9965,-0.433174
199,98.9778,11.9879,-0.328152
200,99.6645,12.0178,-0.534565
201,100.356,11.9853,-0.575935
202,101.052,11.9845,-0.232607
203,101.754,11.9554,-0.137888
204,102.46,12.0011,-0.514017
205,103.171,11.9929,-0.284657
206,103.886,12.0058,-0.281151
207,104.607,11.9888,-0.53987
208,105.333,11.9752,-0.244814
209,106.064,11.9444,-0.306211
210,106.8,12.005,-0.81551
211,107.541,11.9803,-0.474873
212,108.287,11.9764,-0.534812
213,109.038,11.9915,-0.595703
214,109.795,11.9793,-0.330536
215,110.557,11.9975,-0.0312973
216,111.324,11.998,-0.644359
217,112.096,12.006,-0.285722
218,112.874,11.9977,-0.632888
219,113.657,11.9954,-0.366317
220,114.446,11.9566,-0.64887
221,115.24,11.9888,-0.594955
222,116.04,11.9723,-0.311298
223,116.845,11.9847,-0.750642
224,117.656,11.9883,-0.541151
225,118.472,11.9913,-0.00960325
226,119.294,11.9795,-0.642338
227,120.122,12.0049,-0.655381
228,120.955,11.9754,-0.729058
